"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2023","874,370","859,170","884,820","847,230","","1,21%"
"01.05.2023","863,910","890,565","894,785","846,295","","-2,78%"
"01.04.2023","888,610","862,215","904,240","857,485","","3,20%"
"01.03.2023","861,090","875,345","895,505","838,930","","-1,60%"
"01.02.2023","875,130","864,945","886,685","837,780","","1,28%"
"01.01.2023","864,050","907,800","917,725","862,390","","-4,77%"
"01.12.2022","907,320","926,745","950,555","898,720","","-1,90%"
"01.11.2022","924,850","932,320","979,220","893,830","","-0,77%"
"01.10.2022","932,020","948,740","977,055","893,680","","-1,60%"
"01.09.2022","947,200","901,935","961,650","831,975","","5,06%"
"01.08.2022","901,610","920,745","955,990","875,030","","-1,90%"
"01.07.2022","919,110","960,845","1.063,270","915,110","","-4,31%"
"01.06.2022","960,470","884,700","981,795","866,500","","8,68%"
"01.05.2022","883,730","899,390","920,940","875,495","","-1,50%"
"01.04.2022","897,180","870,575","920,895","850,205","","3,17%"
"01.03.2022","869,580","896,785","902,520","851,220","","-2,87%"
"01.02.2022","895,280","899,535","951,300","882,715","","-0,36%"
"01.01.2022","898,530","968,725","969,665","885,635","","-7,13%"
"01.12.2021","967,530","938,160","989,945","926,580","","3,24%"
"01.11.2021","937,150","940,650","964,240","900,705","","-0,32%"
"01.10.2021","940,140","939,100","966,390","928,005","","0,16%"
"01.09.2021","938,670","913,185","946,230","901,795","","2,90%"
"01.08.2021","912,240","897,685","936,725","894,005","","1,63%"
"01.07.2021","897,610","868,435","912,285","863,835","","3,48%"
"01.06.2021","867,430","883,865","902,430","857,495","","-1,78%"
"01.05.2021","883,170","855,105","905,245","837,280","","3,46%"
"01.04.2021","853,640","845,120","864,460","833,380","","1,06%"
"01.03.2021","844,650","874,380","885,740","842,270","","-3,31%"
"01.02.2021","873,570","892,070","892,510","848,780","","-2,01%"
"01.01.2021","891,500","867,950","907,580","852,315","","2,85%"
"01.12.2020","866,820","908,795","918,770","859,845","","-4,47%"
"01.11.2020","907,360","901,205","923,185","881,285","","0,78%"
"01.10.2020","900,370","920,075","945,655","896,580","","-2,09%"
"01.09.2020","919,590","926,690","931,815","892,380","","-0,74%"
"01.08.2020","926,480","891,685","962,520","883,915","","4,00%"
"01.07.2020","890,850","924,435","925,225","877,295","","-3,61%"
"01.06.2020","924,200","886,665","931,590","857,370","","4,30%"
"01.05.2020","886,060","914,500","921,905","872,865","","-2,95%"
"01.04.2020","912,990","944,095","949,240","904,505","","-3,09%"
"01.03.2020","942,130","899,960","969,745","895,075","","4,57%"
"01.02.2020","900,970","886,970","905,740","851,230","","1,61%"
"01.01.2020","886,700","843,125","888,995","833,685","","5,26%"
"01.12.2019","842,430","886,350","894,950","825,355","","-4,77%"
"01.11.2019","884,640","827,005","922,855","814,465","","7,13%"
"01.10.2019","825,770","794,340","827,765","782,160","","4,04%"
"01.09.2019","793,700","792,550","800,465","776,145","","0,20%"
"01.08.2019","792,090","779,245","811,195","775,805","","1,69%"
"01.07.2019","778,950","770,355","782,670","761,450","","1,19%"
"01.06.2019","769,780","792,685","795,790","768,755","","-2,96%"
"01.05.2019","793,250","760,180","798,480","755,505","","4,43%"
"01.04.2019","759,570","763,390","765,605","742,540","","-0,42%"
"01.03.2019","762,810","746,495","774,605","740,850","","2,35%"
"01.02.2019","745,300","750,630","755,640","735,090","","-0,65%"
"01.01.2019","750,180","795,740","801,430","748,635","","-5,59%"
"01.12.2018","794,630","760,085","800,135","751,745","","4,60%"
"01.11.2018","759,660","787,285","793,795","756,330","","-3,45%"
"01.10.2018","786,790","763,585","796,950","756,055","","3,09%"
"01.09.2018","763,210","790,415","812,205","761,925","","-3,40%"
"01.08.2018","790,090","745,035","795,795","739,680","","6,07%"
"01.07.2018","744,860","761,870","777,480","743,865","","-2,47%"
"01.06.2018","763,730","737,350","765,960","731,655","","3,64%"
"01.05.2018","736,930","740,850","758,420","718,675","","-0,49%"
"01.04.2018","740,540","744,215","747,020","727,310","","-0,39%"
"01.03.2018","743,450","725,475","756,340","723,825","","2,53%"
"01.02.2018","725,110","747,695","753,320","721,420","","-3,04%"
"01.01.2018","747,870","738,600","756,320","721,940","","1,43%"
"01.12.2017","737,330","770,605","775,880","730,880","","-4,25%"
"01.11.2017","770,060","741,210","773,900","730,460","","3,99%"
"01.10.2017","740,500","756,380","756,380","727,755","","-1,97%"
"01.09.2017","755,380","744,615","757,050","735,720","","1,54%"
"01.08.2017","743,890","769,190","776,015","742,975","","-3,21%"
"01.07.2017","768,530","759,345","771,650","749,510","","1,26%"
"01.06.2017","758,980","756,875","761,420","736,800","","0,35%"
"01.05.2017","756,350","727,550","758,215","724,915","","4,17%"
"01.04.2017","726,080","703,460","728,645","686,245","","3,41%"
"01.03.2017","702,120","687,710","726,250","682,065","","2,12%"
"01.02.2017","687,570","699,980","700,950","672,625","","-1,69%"
"01.01.2017","699,420","705,365","715,175","688,615","","-0,60%"
"01.12.2016","703,620","715,745","720,415","684,865","","-1,60%"
"01.11.2016","715,070","716,480","731,935","702,870","","-0,17%"
"01.10.2016","716,270","738,910","750,490","707,270","","-3,07%"
"01.09.2016","738,950","759,410","764,955","733,500","","-2,60%"
"01.08.2016","758,710","732,585","761,090","714,935","","3,70%"
"01.07.2016","731,650","735,185","739,725","711,355","","-0,39%"
"01.06.2016","734,530","770,915","779,235","725,270","","-4,63%"
"01.05.2016","770,200","755,080","790,940","755,015","","1,79%"
"01.04.2016","756,650","762,950","782,115","742,390","","-0,73%"
"01.03.2016","762,210","757,300","770,945","730,760","","0,72%"
"01.02.2016","756,730","773,045","814,270","751,455","","-2,01%"
"01.01.2016","772,250","769,580","803,925","764,270","","0,46%"
"01.12.2015","768,730","750,980","787,175","740,140","","2,43%"
"01.11.2015","750,470","762,665","765,980","744,445","","-1,34%"
"01.10.2015","760,670","778,275","789,360","746,730","","-2,24%"
"01.09.2015","778,070","776,775","799,660","760,285","","0,21%"
"01.08.2015","776,440","739,615","829,720","733,460","","4,85%"
"01.07.2015","740,520","712,185","745,925","697,555","","4,09%"
"01.06.2015","711,440","678,995","724,530","673,285","","4,85%"
"01.05.2015","678,560","686,595","697,405","664,935","","-1,04%"
"01.04.2015","685,660","670,435","689,485","648,605","","2,41%"
"01.03.2015","669,550","690,700","699,815","667,710","","-3,04%"
"01.02.2015","690,570","714,965","723,030","689,700","","-3,31%"
"01.01.2015","714,210","734,255","741,100","694,245","","-2,64%"
"01.12.2014","733,560","757,505","781,535","733,745","","-3,08%"
"01.11.2014","756,890","720,285","758,730","715,965","","5,14%"
"01.10.2014","719,900","755,555","759,150","720,425","","-4,66%"
"01.09.2014","755,080","770,855","780,755","753,205","","-1,92%"
"01.08.2014","769,880","766,010","786,390","763,770","","0,54%"
"01.07.2014","765,770","756,415","770,175","744,150","","1,27%"
"01.06.2014","756,150","749,280","760,775","742,955","","1,00%"
"01.05.2014","748,670","782,380","793,325","744,350","","-4,26%"
"01.04.2014","781,970","755,255","785,185","751,995","","3,59%"
"01.03.2014","754,900","770,195","800,655","752,930","","-2,09%"
"01.02.2014","771,050","749,805","775,205","745,710","","2,97%"
"01.01.2014","748,780","722,280","758,530","718,175","","3,71%"
"01.12.2013","722,020","724,375","736,720","716,815","","-0,27%"
"01.11.2013","723,980","695,815","725,260","684,670","","4,08%"
"01.10.2013","695,600","683,450","702,360","666,990","","1,86%"
"01.09.2013","682,920","675,335","685,700","664,470","","1,26%"
"01.08.2013","674,450","683,420","698,550","671,205","","-1,25%"
"01.07.2013","682,960","660,645","686,670","644,805","","3,49%"
"01.06.2013","659,900","644,290","682,975","644,290","","1,62%"
"01.05.2013","649,360","620,940","651,500","611,805","","4,76%"
"01.04.2013","619,860","604,895","627,385","601,315","","2,59%"
"01.03.2013","604,240","617,905","620,655","602,455","","-2,18%"
"01.02.2013","617,700","639,930","646,450","615,725","","-3,40%"
"01.01.2013","639,460","631,420","640,725","613,605","","1,34%"
"01.12.2012","631,020","624,250","636,400","613,545","","0,97%"
"01.11.2012","624,940","623,470","626,630","606,165","","0,32%"
"01.10.2012","622,940","609,845","627,545","607,780","","2,19%"
"01.09.2012","609,600","604,250","620,985","599,665","","1,01%"
"01.08.2012","603,520","593,640","607,800","582,015","","1,73%"
"01.07.2012","593,280","634,625","634,650","590,215","","-6,32%"
"01.06.2012","633,280","638,640","647,105","622,935","","-0,74%"
"01.05.2012","637,980","642,325","649,010","625,845","","-0,57%"
"01.04.2012","641,610","646,990","653,625","629,325","","-1,48%"
"01.03.2012","651,270","639,070","653,310","628,950","","1,91%"
"01.02.2012","639,070","642,800","648,450","623,005","","-0,54%"
"01.01.2012","642,510","671,810","676,600","631,220","","-4,38%"
"01.12.2011","671,960","692,660","696,440","670,135","","-3,00%"
"01.11.2011","692,710","678,550","709,955","666,750","","2,07%"
"01.10.2011","678,650","694,470","717,470","677,505","","-2,63%"
"01.09.2011","696,970","662,830","711,630","634,365","","5,14%"
"01.08.2011","662,920","656,380","684,775","646,465","","0,70%"
"01.07.2011","658,280","677,230","680,110","646,405","","-2,86%"
"01.06.2011","677,650","668,750","687,875","659,790","","1,30%"
"01.05.2011","668,940","682,300","694,555","652,075","","-1,80%"
"01.04.2011","681,200","676,520","688,765","670,900","","0,72%"
"01.03.2011","676,330","655,250","687,550","654,350","","3,24%"
"01.02.2011","655,110","661,030","666,890","630,610","","-0,90%"
"01.01.2011","661,080","624,210","676,700","619,100","","5,66%"